time;model_id;model_name;port_name;data
0;1;electrode;;{input: -100, threshold: 29, sigma: inf}
0;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
0.4;2;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
0.5;1;electrode;;{input: 30, threshold: 29, sigma: 0}
0.5;2;neuron;potential_out;30
0.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
0.5;1;electrode;spike_out;1
0.5;1;electrode;;{input: 30, threshold: 29, sigma: inf}
0.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
0.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
0.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
0.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
1.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
1.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
1.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
1.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
1.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
1.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
1.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
1.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
1.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
2.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
2.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
2.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
2.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.6;2;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
3.7;1;electrode;;{input: 30, threshold: 29, sigma: 0}
3.7;2;neuron;potential_out;30
3.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
3.7;1;electrode;spike_out;1
3.7;1;electrode;;{input: 30, threshold: 29, sigma: inf}
3.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
3.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
4.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
4.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
4.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
4.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
4.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
4.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
4.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
4.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
4.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
5.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
5.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
5.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
5.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
5.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
5.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
5.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
5.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
5.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
6.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
7.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
7.2;2;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
7.3;1;electrode;;{input: 30, threshold: 29, sigma: 0}
7.3;2;neuron;potential_out;30
7.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
7.3;1;electrode;spike_out;1
7.3;1;electrode;;{input: 30, threshold: 29, sigma: inf}
7.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
7.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
7.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
7.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
7.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
7.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
8.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
8.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
8.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
8.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
8.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
8.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
8.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
8.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
8.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
9.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
9.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.6;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.7;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.8;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
9.9;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.1;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.2;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.3;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.4;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.5;2;neuron;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
10.6;2;neuron;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
